state_name,city,"ROUND(AVG(Median),1)"
Pennsylvania,Ardmore,217328
"New York",Whitesboro,217046
"New York","South Salem",217008.5
"New York",Bellmore,216687
"New York",Hauppauge,216610.5
"New York",Ardsley,216070.7
California,"San Gabriel",215869
Pennsylvania,Landenberg,215696.5
Virginia,"Great Falls",215673.5
Wyoming,Riverton,215242.3
"New Jersey","Cedar Grove",214867
Georgia,Greensboro,214846.5
Illinois,Streator,214706.7
Pennsylvania,Manheim,214482.3
Maryland,Woodbine,214459.5
Nevada,"Zephyr Cove",214319.3
Texas,Crowley,214226
Washington,Snoqualmie,214180.5
Texas,"Haltom City",214021
"New Jersey",Hazlet,213846
California,"Menlo Park",213687
Indiana,Laporte,213064.3
Virginia,Leesburg,212986.7
Missouri,"Ste Genevieve",212270.7
"New York",Pelham,212250
"New Jersey",Princeton,211393.8
"New Jersey","Saddle Brook",211223.5
Michigan,Plymouth,210958
Pennsylvania,"West Grove",210937
"New Jersey",Morganville,210782
California,"El Dorado Hills",210779.7
